sector,site,stack,ktCO2,xCO2,energy_strategy,latitude,longitude,hub,km_hub,land_transport,sea_transport,ccgt_capacity
ccgt,Peterhead Power Station,Peterhead Power Station-ccgt,1350.8951019840001,0.04,LP steam,57.47788541945565,-1.7883750054288607,Peterhead,3.3955571470515302,pipeline,,1180.0
ccgt,Rocksavage,Rocksavage-ccgt,481.80682494,0.04,LP steam,53.314717600426086,-2.72643825485286,Hynet,39.2936439731737,pipeline,,810.0
ccgt,Rye House,Rye House-ccgt,483.424019364,0.04,LP steam,51.76103947108868,0.010358049841330525,London,30.799921554881706,pipeline,ship to Bacton,715.0
ccgt,Saltend,Saltend-ccgt,2294.461504098,0.04,LP steam,53.73551706592096,-0.24443846832663457,Humberside,28.44061957646665,pipeline,,1200.0
ccgt,Seabank,Seabank-ccgt,1712.020816098,0.04,LP steam,51.53947337080543,-2.671862448108801,Bristol,3.6037634685711564,pipeline,ship to Hynet,1234.0
ccgt,Shoreham Power Station,Shoreham Power Station-ccgt,614.802741792,0.04,LP steam,50.82811976382598,-0.21604904743326497,London,79.55408683247131,truck,ship to Bacton,420.0
ccgt,South Humber,South Humber-ccgt,1489.9096699680001,0.04,LP steam,53.60278178029131,-0.14566212958784272,Humberside,18.990987810049496,pipeline,,1365.0
ccgt,Spalding,Spalding-ccgt,1402.98969039,0.04,LP steam,52.80783869569706,-0.13219205837988007,Humberside,92.11163422598214,truck,,950.0
ccgt,Staythorpe Power Station,Staythorpe Power Station-ccgt,3574.179279096,0.04,LP steam,53.07101921429117,-0.8598410977734393,Humberside,90.20592817477137,truck,,1828.0
ccgt,West Burton B CCGT Power Station,West Burton B CCGT Power Station-ccgt,2345.307607212,0.04,LP steam,53.360723899716795,-0.811536325938544,Humberside,69.2803556616752,truck,,1332.0
